id,pop,River,sex,lat,lon,TOTAL_LENGTH_mm,Catch_date,Sample_comment,DataComment,Parent_offspring,Full_Sib,Half_Sib,Haplotype_IntermediateQC,yearcollect,Age,Cohort
GGDU001,Cambridge Gulf,West Cambridge Gulf,F,-14.985181,128.165899,625,9/11/2015,NA,NA,NA,NA,NA,HT01,NA,NA,NA
GGDU002,Cambridge Gulf,West Cambridge Gulf,M,-14.985181,128.165899,630,9/11/2015,NA,NA,NA,NA,NA,HT20,NA,NA,NA
GGDU003,Cambridge Gulf,West Cambridge Gulf,F,-14.985181,128.165899,690,10/11/2015,NA,NA,NA,NA,NA,HT20,NA,NA,NA
GGDU004,Cambridge Gulf,West Cambridge Gulf,F,-14.985181,128.165899,654,10/11/2015,NA,NA,NA,NA,NA,HT20,NA,NA,NA
GGDU005,Cambridge Gulf,West Cambridge Gulf,M,-14.985181,128.165899,590,10/11/2015,NA,NA,NA,NA,NA,HT01,NA,NA,NA
GGDU006,Cambridge Gulf,West Cambridge Gulf,F,-14.985181,128.165899,695,11/11/2015,NA,NA,NA,NA,NA,HT12,NA,NA,NA
GGDU007,Cambridge Gulf,West Cambridge Gulf,F,-14.985181,128.165899,595,11/11/2015,NA,NA,NA,NA,NA,HT20,NA,NA,NA
GGDU008,Cambridge Gulf,West Cambridge Gulf,F,-14.985181,128.165899,715,12/11/2015,NA,NA,NA,NA,NA,HT20,NA,NA,NA
GGOR001,Cambridge Gulf,Ord River,F,-14.985181,128.165899,560,4/11/2015,NA,NA,NA,NA,NA,HT20,NA,NA,NA
GGOR002,Cambridge Gulf,Ord River,F,-14.985181,128.165899,965,4/11/2015,NA,NA,NA,NA,NA,HT20,NA,NA,NA
GGOR003,Cambridge Gulf,Ord River,F,-14.985181,128.165899,955,4/11/2015,NA,NA,NA,NA,NA,HT20,NA,NA,NA
GGOR004,Cambridge Gulf,Ord River,M,-14.985181,128.165899,1275,5/11/2015,NA,NA,NA,NA,NA,HT20,NA,NA,NA
GGOR005,Cambridge Gulf,Ord River,F,-14.985181,128.165899,1250,5/11/2015,NA,NA,NA,NA,NA,HT11,NA,NA,NA
GGOR006,Cambridge Gulf,Ord River,F,-14.985181,128.165899,635,6/11/2015,NA,NA,NA,NA,NA,HT20,NA,NA,NA
GGOR007,Cambridge Gulf,Ord River,M,-14.985181,128.165899,605,6/11/2015,NA,NA,NA,NA,NA,HT20,NA,NA,NA
GGOR008,Cambridge Gulf,Ord River,F,-14.985181,128.165899,770,6/11/2015,NA,NA,NA,NA,NA,HT20,NA,NA,NA
GGOR009,Cambridge Gulf,Ord River,F,-14.985181,128.165899,1155,7/11/2015,Recaptured,NA,NA,NA,NA,HT20,NA,NA,NA
GGOR010,Cambridge Gulf,Ord River,F,-14.985181,128.165899,1115,7/11/2015,NA,NA,NA,NA,NA,HT20,NA,NA,NA
GGOR011,Cambridge Gulf,Ord River,M,-14.985181,128.165899,635,7/11/2015,NA,NA,NA,NA,NA,HT20,NA,NA,NA
GGOR012,Cambridge Gulf,Ord River,M,-14.985181,128.165899,1075,7/11/2015,NA,NA,NA,NA,NA,HT20,NA,NA,NA
GGOR013,Cambridge Gulf,Ord River,M,-14.985181,128.165899,623,8/11/2015,NA,NA,NA,NA,NA,HT20,NA,NA,NA
GGOR014,Cambridge Gulf,Ord River,M,-14.985181,128.165899,973,8/11/2015,NA,NA,NA,NA,NA,HT20,NA,NA,NA
GGOR015,Cambridge Gulf,Ord River,F,-14.985181,128.165899,722,8/11/2015,NA,NA,NA,NA,NA,HT20,NA,NA,NA
GGPE001,Cambridge Gulf,West Cambridge Gulf,M,-14.985181,128.165899,785,15/12/2015,NA,NA,NA,NA,NA,HT20,NA,NA,NA
GGPE002,Cambridge Gulf,West Cambridge Gulf,F,-14.985181,128.165899,851,15/12/2015,NA,NA,NA,NA,NA,HT02,NA,NA,NA
GGPE003,Cambridge Gulf,West Cambridge Gulf,F,-14.985181,128.165899,725,16/12/2015,NA,NA,NA,NA,NA,HT20,NA,NA,NA
GGPE004,Cambridge Gulf,West Cambridge Gulf,F,-14.985181,128.165899,525,17/12/2015,NA,NA,NA,NA,NA,HT01,NA,NA,NA
GGPE005,Cambridge Gulf,West Cambridge Gulf,M,-14.985181,128.165899,632,17/12/2015,NA,NA,NA,NA,NA,HT01,NA,NA,NA
GGWA001,Cambridge Gulf,West Cambridge Gulf,M,-14.985181,128.165899,967,11/11/2015,NA,NA,NA,NA,NA,HT12,NA,NA,NA
GGWA002,Cambridge Gulf,West Cambridge Gulf,F,-14.985181,128.165899,835,12/11/2015,NA,NA,NA,NA,NA,HT20,NA,NA,NA
GGD001,Daly River,Daly River,M,-13.309024,130.216174,980,2/09/2014,NA,NA,NA,NA,NA,HT19,NA,NA,NA
GGD002,Daly River,Daly River,F,-13.309024,130.216174,895,2/09/2014,NA,NA,NA,NA,NA,HT16,NA,NA,NA
GGD003,Daly River,Daly River,M,-13.309024,130.216174,800,20/10/2015,NA,NA,NA,NA,NA,HT17,NA,NA,NA
GGD004,Daly River,Daly River,M,-13.309024,130.216174,1590,20/10/2015,NA,NA,NA,NA,NA,HT18,NA,NA,NA
GGD005,Daly River,Daly River,F,-13.309024,130.216174,765,20/10/2015,NA,NA,NA,NA,NA,HT18,NA,NA,NA
GGD006,Daly River,Daly River,F,-13.309024,130.216174,755,20/10/2015,NA,NA,NA,NA,NA,HT20,NA,NA,NA
GGD007,Daly River,Daly River,F,-13.309024,130.216174,710,20/10/2015,NA,NA,NA,NA,NA,HT19,NA,NA,NA
GGD008,Daly River,Daly River,M,-13.309024,130.216174,730,20/10/2015,NA,NA,NA,NA,NA,HT20,NA,NA,NA
GGD009,Daly River,Daly River,F,-13.309024,130.216174,780,20/10/2015,NA,NA,NA,NA,NA,HT20,NA,NA,NA
GGD010,Daly River,Daly River,F,-13.309024,130.216174,1010,21/10/2015,NA,HighHet,NA,NA,NA,HT20,NA,NA,NA
GGD011,Daly River,Daly River,F,-13.309024,130.216174,995,22/10/2015,NA,NA,NA,NA,NA,HT20,NA,NA,NA
GGD012,Daly River,Daly River,F,-13.309024,130.216174,915,22/10/2015,NA,NA,NA,NA,NA,HT20,NA,NA,NA
GGD013,Daly River,Daly River,M,-13.309024,130.216174,900,23/10/2015,NA,NA,NA,NA,NA,HT16,NA,NA,NA
GGD014,Daly River,Daly River,M,-13.309024,130.216174,853,23/10/2015,NA,NA,NA,NA,NA,HT19,NA,NA,NA
GGD015,Daly River,Daly River,F,-13.309024,130.216174,1685,23/10/2015,NA,NA,NA,NA,NA,HT20,NA,NA,NA
GGD016,Daly River,Daly River,M,-13.309024,130.216174,710,24/10/2015,NA,NA,NA,NA,NA,HT20,NA,NA,NA
